Datetime,Tweet ID,Text,Username,Score
2018-02-07 04:09:09+00:00,9.61E+17,followme - Drone trials to take place at one-north: The 200-hectare business park has been designated as the first drone estate in Singapore.  #Technology,homesmiamibeach,0.6597
2018-02-07 03:53:10+00:00,9.61E+17,Drone trials to take place at one-north,DroneNewsFeed,0.6597
2018-02-07 03:41:17+00:00,9.61E+17,Drone trials to take place at one-north  ,DroneUAVUAS,0.6688
2018-02-07 03:39:04+00:00,9.61E+17,Drone trials to take place at one-north,dronepilots,0.6705
2018-02-07 03:37:06+00:00,9.61E+17,Drone trials to take place at one-north,dronegamescom,0.6705
2018-02-07 03:36:09+00:00,9.61E+17,Drone trials to take place at one-north ,droneblog,0.6705
2018-02-07 03:35:11+00:00,9.61E+17,Drone trials to take place at one-north,drone_school,0.6705
2018-02-07 03:34:22+00:00,9.61E+17,Drone trials to take place at one-north,drone_sport,0.6712
2018-02-07 03:33:25+00:00,9.61E+17,Drone trials to take place at one-north,drone_reviews,0.6769
2018-02-07 03:33:08+00:00,9.61E+17,Drone trials to take place at one-north,super64,0.6769
2018-02-07 03:17:21+00:00,9.61E+17,"Five technology trials to kick off at one-north, #Singapore's first drone estate",BusinessTimes,0.68
2018-02-07 03:02:09+00:00,9.61E+17,Drone trials to take place at one-north,ChannelNewsAsia,0.6808
2018-02-07 02:50:07+00:00,9.61E+17,Drone trials to take place at one-north,sgpressrelease,0.69
2018-02-07 02:48:23+00:00,9.61E+17,#Drone trials to take place at one-north - Singapore's first drone estate ,ChannelNewsAsia,0.6908
2018-02-07 00:56:13+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,captsingh,0.6982
2018-02-07 00:37:27+00:00,9.61E+17,Ministry of Transport designates one-north as SG's first drone estate #drones #UAV,DroneUAVUAS,0.6996
2018-02-06 22:10:04+00:00,9.61E+17,Ministry of Transport designates one-north as SG's first drone estate ,super64,0.6996
2018-02-06 18:17:18+00:00,9.61E+17,"One-north to be designated as Singapore's first drone estate, Transport",Ruby_Camera,0.7003
2018-02-06 15:03:10+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,TheDroneTrainer,0.7003
2018-02-06 14:23:10+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate,DroneNewsFeed,0.7088
2018-02-06 13:21:44+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,thenewpaper,0.7096
2018-02-06 08:04:02+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,thenewpaper,0.7096
2018-02-06 05:48:26+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate,TalentreqP,0.7096
2018-02-06 02:45:23+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate,CubeSingapore,0.7096
2018-02-06 01:04:13+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,SingaporeApp,0.7096
2018-02-06 01:00:02+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,straits_times,0.7128
2018-02-06 00:48:38+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate,singaporeinform,0.7177
2018-02-06 00:12:59+00:00,9.61E+17,one-north to be #Singapore's first drone estate ,BusinessTimes,0.7184
2018-02-05 22:50:22+00:00,9.61E+17,One-north to be designated as S'pore's first drone estate ,drone_school,0.7184
2018-02-05 22:48:07+00:00,9.61E+17,One-north to be designated as S'pore's first drone estate,drone_reviews,0.7263
2018-02-05 22:47:08+00:00,9.61E+17,One-north to be designated as S'pore's first drone estate,dronegamescom,0.7269
2018-02-05 22:46:06+00:00,9.61E+17,One-north to be designated as S'pore's first drone estate ,droneblog,0.7339
2018-02-05 22:44:13+00:00,9.61E+17,One-north to be designated as S'pore's first drone estate,drone_sport,0.7339
2018-02-05 22:44:05+00:00,9.61E+17,One-north to be designated as S'pore's first drone estate,dronepilots,0.743
2018-02-05 21:47:09+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate,sandeepc331,0.743
2018-02-05 17:01:10+00:00,9.61E+17,one-north to be designated as Singapore's first drone estate ,DroneNewsFeed,0.7456
2018-02-05 14:36:10+00:00,9.61E+17,One-North Will Be Named Singapore's First Drone Estate ,DroneNewsFeed,0.7506
2018-02-05 14:16:10+00:00,9.61E+17,Ministry of Transport designates one-north as SG's first drone estate  | Singapore Business Review #drone #uav,DroneNewsFeed,0.7568
2018-02-05 14:07:10+00:00,9.61E+17,One-North to be designated as Singapore's first drone estate,DroneNewsFeed,0.7574
2018-02-05 13:30:04+00:00,9.61E+17,"One-north, which has been designated #Singapore's first #drone estate, will help the growth of high-tech companies with #UAV capabilities and spur commercial partnerships.",Coptrz,0.765
2018-02-05 13:23:29+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate.,HomeSearchSg,0.7772
2018-02-05 13:14:10+00:00,9.61E+17,One-north to be designated as Singapore's first drone estate ,AliHeyamali,0.7777
