"""Datetime""","""Tweet ID""","""Text""","""Username""",Score
2020-08-11 14:50:27+00:00,1.29E+18,@_OliviaBlake @acorn_sheffield @ShefHallamLab @LabGND @serauk The current #HS2 plans also prevent Transport for the North from achieving many of their 2015 'One North' journey time &amp; service frequency aspirations with Sheffield having the worst outcome of all One-North northern cities because a sub-optimal HS2 route via Midland was chosen.,sicross2000,0.2003
2020-08-07 20:53:51+00:00,1.29E+18,"@mapninja They're random things I came up with, from a different metro system, from the real place. For example, viola is named for viola place (a road right by the stop), one-north is from the Singapore MRT, and Duck line was cause I saw a duck at monta vista once haha",justinkongmaps,0.2023
2020-08-06 00:26:50+00:00,1.29E+18,"Bread Yard, Galaxis One-North: Bakery Cafe with Dishes that Focus on Bread",TokyoGourmand,0.2023
2020-08-05 23:36:59+00:00,1.29E+18,"Bread Yard, Galaxis One-North: Bakery Cafe with Dishes that Focus on Bread",RubbishEatRGrow,0.2023
2020-08-05 09:58:00+00:00,1.29E+18,.@DarcelAnastasia Its either that or one-north.,hollowatermelon,0.2023
2020-08-05 07:58:16+00:00,1.29E+18,@dirtdynamics @ofmeowandbake Nearest one in the west is at One-North.,mintea,0.2023
2020-08-04 08:12:34+00:00,1.29E+18,@HHTay I moved office to one-north,dhaZiBi,0.2023
2020-08-03 11:09:31+00:00,1.29E+18,Floating orchids on my stairs @ One-North Residences https://t.co/6OTcabqW1t,JP_Snell,0.2263
2020-07-31 09:41:43+00:00,1.29E+18,".@tweetWRS spotted this bird trap near Sandcrawler, one-north park in Fusionopolis - it had a speaker playing bird songs. This is for research, right :)? Can you help me identify this bird and do you know more about these kinds of traps :)? ",thatmarta,0.2401
2020-07-29 08:25:59+00:00,1.29E+18,"One-North Eden, a brand new mixed development at One-north Gateway, Singapore District 05.  Developed by TID Residential, Hong Leong Holdings and Mitsui Fudosan.",tay_kenny,0.2411
2020-07-29 01:53:06+00:00,1.29E+18,"High-tech B1 industrial space for Rent Grande Building - 8 Commonwealth Lane, Singapore 149555 *Close proximity to One-North *5 mins walk to Commonwealth MRT Sizes 797-6600sqft, Rental from $2391 - Well tenanted by MNCs ",alexhansg76,0.2429
2020-07-24 02:02:25+00:00,1.29E+18,"** Pending Approval for Sale **New Mixed-Use Condo at One-North Gateway by TID Located at the plum site of One-North Gateway, a new exciting mixed-development will soon launch in 2020. ",propertyasiadir,0.2429
2020-07-21 05:00:00+00:00,1.29E+18,"Last Saturday morning, we kicked off our first Virtual Bingo Tour at one-north, the 'Silicon Valley' of Singapore! Thank you to all 41 participants who made this #virtualtour a success! Click here for details: https://t.co/UfUHd8zvtL #MonsterDayTours #SupportLocal ",monsterdaytours,0.2429
2020-07-20 10:26:18+00:00,1.29E+18,@visakanv @sharanvkaur MoneySmart (: I think it was one of your tweets describing your journey from one-north to Blk 71 that led me to follow you in the first place!,prodigalgeek,0.2429
2020-07-17 10:06:03+00:00,1.28E+18,"In 1960 Singapore set up a plan to develop Garden City and pushed the concept even further in recent decades to become a City in a Garden. COVID-related measures reducing work from the office, nature is even more present in Singapore ""Silicon valley"" one-north. ",horizon_quantum,0.2429
2020-07-17 04:19:32+00:00,1.28E+18,One-North Eden ,GinaLimLL,0.25
2020-07-16 19:47:15+00:00,1.28E+18,#MixedReality 5G testing facility to open in one-north in September ,JsPadoan,0.2577
2020-07-14 19:45:59+00:00,1.28E+18,Shipping Container Hotel launched in one-north #video,pickupblocks,0.2731
2020-07-11 07:06:22+00:00,1.28E+18,These #FitnessFirst gym bags are dead handy ... #upcycling #bankholidayweekend @ One-North Residences ,JP_Snell,0.2732
2020-07-09 19:16:58+00:00,1.28E+18,Now looking at Commonwealth-Queenstown: The 2019 plan (unlabeled) looks very different from the 2014 one.- Straight road connecting Commonwealth to one-north- Old Tanglin Halt flats rezoned- Portsdown broken into residential sub-parts- Rail Corridor preserved!,kylemalinda,0.2732
2020-07-08 06:13:17+00:00,1.28E+18,Suddenly rmbed the little coffee shop at one-north mrt where the auntie always rmbs my order of Teh C peng siu dai. Haven't been there since March sia. Wonder how is the shop doing and if it still surviving or not.,DasKaiserSJH,0.2732
2020-06-30 05:42:24+00:00,1.28E+18,"@hamsterlamster haha nope, this one is near my workplace. It's in one-north, called Hoodadak. You should check it out :)",miauwpinch,0.2732
2020-06-26 09:30:00+00:00,1.28E+18,"As our team grows, we are moving to a new office at ALICE@Mediapolis. This smart and green freshly built business park is situated in #Singapore's Silicon Valley one-north. Starting from next week, we will be sharing photos of our offices taking shape.",horizon_quantum,0.2732
2020-06-22 06:26:51+00:00,1.27E+18,"The proceeds from this green loan will be used by SoilBuild #REIT to refinance its iconic project Solaris@one-north, a #business space complex that is part of the Fusionopolis cluster in #Singapore. #reitasiapac : ",reitasiapac,0.2732
2020-06-22 05:15:32+00:00,1.27E+18,Bowl Chap Review: Ex-Tippling Club Trainee Opens A Donburi Stall At one-north https://t.co/qHs8AcxoYa ,makaneric,0.2924
2020-06-12 03:12:32+00:00,1.27E+18,"Full Time Tea Barista: Tea Tree Cafe Ptd Ltd Location: One-North, ITE Ang Mo Kio, Temasek Poly SIT, Kallang Wave Mall, The Cathay, Kovan, Nanyang Poly SIT, Punggol Bus Interchange. Job description Cashier Greeting customer and taking ",FindSGJob,0.296
2020-06-07 11:13:24+00:00,1.27E+18,one-north #Singapore ,egyikfan,0.296
2020-05-07 15:40:35+00:00,1.26E+18,@barisanhantu I also just found out that the Clone Wars were principally produced in Singapore. And also there's a sandcrawler building at one-north... Haha.,guanyinmiao,0.296
2020-05-03 15:06:51+00:00,1.26E+18,"NOW THAT THE NORTH IS CAUGHT IN THE WEB OF COVID-19 AND ARE RETURNING THE SOCALLED ""ALMAJIRI"" (what is the meaning of this word self?) CHILDREN TO THEIR STATE OF ORIGIN, THE CONCEPT OF ONE-NORTH HAVE BEEN SOMEHOW  SUSPENDED. Waoo! It is comfortable when rogue politicians want it.",JosephUbiagba,0.296
2020-04-18 12:02:34+00:00,1.25E+18, @ One-North ,lurunluluninie,0.3182
2020-04-12 06:29:50+00:00,1.25E+18,I'm at one-north MRT Station (CC23) - @smrt_singapore in Singapore ,lieynafara,0.3182
2020-04-09 15:49:53+00:00,1.25E+18,"For @Ada_Palmer, #SomethingBeautiful, to brighten Twitter feeds in this time of pain and uncertainty. Walled path, one-north Park, Singapore, April 2020, the last day before lockdown.",JohnathanYik,0.3182
2020-03-28 16:28:37+00:00,1.24E+18,"#SomethingBeautiful for @Ada_Palmer, to brighten Twitter feeds in this time of darkness. Fungus sprouts from a log.  one-north Park, Fusionopolis South, Singapore, August 2016",JohnathanYik,0.3182
2020-03-17 01:15:02+00:00,1.24E+18,"Min-Liang Tan Conducts Site Visit To Razer SEA HQ At One-North, Confirms Its Opening In 2020 https://t.co/5Lrw6eShXP #tech #technology #HQ ",FintechSIN,0.3182
2020-03-16 22:10:34+00:00,1.24E+18,"Ho Bee wins S$223.6m tender for Biopolis Phase 6 at one-north - MAINBOARD-LISTED Ho Bee Land's subsidiary, HB Universal, has been awarded the concept and pri...",nonsellcom,0.3182
2020-03-16 12:47:00+00:00,1.24E+18,"Ho Bee Land wins S$223.6m tender for biomedical sciences facility at one-north -  MAINBOARD-LISTED Ho Bee Land's subsidiary, HB Universal, has been awarded th...",nonsellcom,0.3182
2020-03-16 12:43:49+00:00,1.24E+18,Ho Bee Land wins S$223.6m tender for biomedical sciences facility at one-north ,BusinessTimes,0.3327
2020-03-15 14:38:02+00:00,1.24E+18,Singapore's first shipping container hotel springs up in one-north via @OracleHosp @ChannelNewsAsia ,sisifc21,0.3365
2020-03-12 03:06:41+00:00,1.24E+18,"UPDATED LIST: Singapore commercial properties affected by the novel #coronavirus; added OCBC Centre, Galaxis at one-north, Kallang's The Aperia Mall, and Funan Mall. https://t.co/8iU2cw7da2 ",FionaLamBT,0.34
2020-03-11 15:14:41+00:00,1.24E+18,@Chxrxe oof changing will u still be at one-north hahahahaha,jenjenjenwow,0.34
2020-03-10 14:04:34+00:00,1.24E+18,Hi #Singapore! Do you want to learn #DeepLearning and #AI with an expert? I will #teach a 3-day course (lectures and coding exercises) in April 20-22 at One-North.  ,xbresson,0.34
2020-03-10 05:10:39+00:00,1.24E+18,Ever wondered about the journey of a start-up? Learn how Takatack grew at JTC LaunchPad @ one-north ,gtccorp1,0.34
2020-02-29 04:58:54+00:00,1.23E+18,One-North park @ Singapore ,jimmytst,0.3412
2020-02-27 06:44:37+00:00,1.23E+18,@joulisians Shall buy it again tmr before my company permanently relocates to One-North ):,whyzeewhy,0.3506
2020-02-24 04:18:05+00:00,1.23E+18,Bus catches fire at one-north ,ChannelNewsAsia,0.3595
2020-02-24 04:16:34+00:00,1.23E+18,Bus catches fire at one-north ,AndyVermaut,0.3595
2020-02-24 01:27:53+00:00,1.23E+18,"Damn, a private bus got its interior and top half completely burned up, near one-north MRT station",bryandmlee,0.3595
2020-02-24 01:16:31+00:00,1.23E+18,[Notice-LTA] Accident on One-north Gateway (towards Portsdown Road) after One-north Link #SG_Alerts (09:15),SG_Alerts,0.3612
2020-02-24 01:15:09+00:00,1.23E+18,Accident on One-north Gateway (towards Portsdown Road) after One-north Link,LTAtrafficnews,0.3612
2020-02-22 08:07:06+00:00,1.23E+18,Came over first GBVS tournament today at One-north .. realise it's been 2 months since I bring my Evo Panthera outside Really look forward to competing again next month when Capcom Pro Tour starts! ,XianMSG,0.3612
2020-02-21 04:41:43+00:00,1.23E+18,Ever wondered about the journey of a start-up? Learn how Takatack grew at JTC LaunchPad @ one-north ,gtccorp1,0.3612
2020-02-19 15:35:21+00:00,1.23E+18,Who's dog would this be? bishoplawcorp @ one-north ,FootBoleh,0.3612
2020-02-18 15:47:15+00:00,1.23E+18,#Ceballos stayed at #Arsenal because he wanted to step up @ one-north,FootBoleh,0.3612
2020-02-17 09:06:41+00:00,1.23E+18,meWATCH - Ep 1 one-north ,jdaniells3,0.3612
2020-02-16 15:56:22+00:00,1.23E+18,Looks like #Buffon has been here forever.. | bishoplawcorp @ one-north ,FootBoleh,0.3612
2020-02-14 16:09:55+00:00,1.23E+18,Can you tell who this striker is? @ one-north ,FootBoleh,0.3612
